# Cluster: Cluster 14
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 261.834, -31.926500000000004
ID=4473 256.754 -19.574
ID=4522 246.594 -33.29
ID=4529 266.914 -29.574
ID=4524 251.674 -33.29
ID=4525 256.754 -33.29
ID=4527 261.834 -33.29
ID=4526 256.754 -29.574
ID=4523 246.594 -29.574
ID=4474 246.594 -19.574
ID=4472 266.914 -19.574
ID=4536 266.914 -43.45
ID=4528 266.914 -33.29
ID=4530 271.994 -33.29
ID=4531 277.074 -33.29
ID=4535 271.994 -43.45
ID=4532 277.074 -43.45
