# Cluster: Cluster 10
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 205.0575294117647, -60.16141176470589
ID=4611 190.714 -61.484
ID=4646 211.034 -71.484
ID=4615 205.954 -57.928
ID=4613 200.874 -57.928
ID=4561 205.954 -47.768
ID=4562 200.874 -47.768
ID=4648 190.714 -71.484
ID=4610 190.714 -57.928
ID=4614 200.874 -61.484
ID=4645 221.194 -71.484
ID=4647 200.874 -71.484
ID=4612 195.794 -57.928
ID=4558 211.034 -47.768
ID=4620 221.194 -61.484
ID=4618 216.114 -57.928
ID=4617 211.034 -61.484
ID=4616 211.034 -57.928
