# Cluster: Cluster 7
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 132.8655, -33.524875
ID=4485 134.834 -19.574
ID=4487 124.674 -29.574
ID=4665 114.006 -24.4
ID=4589 134.834 -47.768
ID=4588 134.834 -43.45
ID=4584 144.994 -43.45
ID=4587 139.914 -43.45
ID=4492 144.994 -33.29
ID=4664 114.006 -29.4
ID=4493 144.994 -29.574
ID=4591 129.754 -43.45
ID=4486 124.674 -19.574
ID=4491 139.914 -33.29
ID=4490 134.834 -29.574
ID=4488 129.754 -33.29
ID=4489 134.834 -33.29
