# Cluster: Cluster 11
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 49.01411764705883, -37.417764705882355
ID=4710 60.158 -56.15
ID=4708 60.158 -51.07
ID=4704 55.078 -36.084
ID=4706 60.158 -45.99
ID=4731 44.918 -36.084
ID=4729 30.44 -36.084
ID=4730 40.6 -36.084
ID=4734 33.0 -17.0
ID=4732 53.34 -24.892
ID=4733 45.72 -19.558
ID=4709 60.158 -53.61
ID=4705 60.19 -38.06
ID=4728 25.654 -40.894
ID=4707 60.158 -48.53
ID=4727 18.288 -40.894
ID=4702 65.786 -24.892
ID=4703 59.436 -30.226
