# Cluster: Cluster 6
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 259.4434117647059, -48.88858823529412
ID=4541 256.754 -47.768
ID=4537 266.914 -47.768
ID=4636 277.074 -57.928
ID=4547 241.514 -43.45
ID=4634 271.994 -57.928
ID=4539 261.834 -43.45
ID=4631 261.834 -57.928
ID=4545 246.594 -47.768
ID=4544 246.594 -43.45
ID=4542 251.674 -47.768
ID=4540 256.754 -43.45
ID=4546 241.514 -47.768
ID=4538 261.834 -47.768
ID=4633 266.914 -57.928
ID=4533 277.074 -47.768
ID=4534 271.994 -47.768
ID=4543 251.674 -43.45
