# Cluster: Cluster 2
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 188.02458823529415, -37.37058823529412
ID=4508 195.794 -29.574
ID=4506 190.714 -33.29
ID=4504 185.634 -33.29
ID=4568 185.634 -43.45
ID=4563 200.874 -43.45
ID=4566 190.714 -47.768
ID=4565 195.794 -47.768
ID=4564 195.794 -43.45
ID=4480 185.634 -19.574
ID=4567 190.714 -43.45
ID=4501 175.474 -33.29
ID=4503 180.554 -33.29
ID=4502 175.474 -29.574
ID=4505 185.634 -29.574
ID=4569 185.634 -47.768
ID=4571 180.554 -43.45
ID=4507 195.794 -33.29
