# Cluster: Cluster 12
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 254.69917647058827, -66.85776470588235
ID=4642 251.674 -71.484
ID=4640 267.97 -84.582
ID=4624 236.434 -57.928
ID=4644 231.354 -71.484
ID=4632 261.834 -61.484
ID=4625 241.514 -57.928
ID=4626 241.514 -61.484
ID=4627 246.594 -57.928
ID=4629 251.674 -61.484
ID=4630 256.754 -57.928
ID=4628 251.674 -57.928
ID=4643 241.514 -71.484
ID=4641 261.834 -71.484
ID=4635 271.994 -61.484
ID=4638 271.78 -74.422
ID=4637 271.994 -71.484
ID=4639 271.78 -84.582
