# Cluster: Cluster 13
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 80.06741176470587, -72.28341176470589
ID=4677 84.034 -79.518
ID=4679 84.034 -74.438
ID=4685 75.398 -71.39
ID=4687 75.398 -66.31
ID=4675 94.006 -79.452
ID=4689 75.398 -61.23
ID=4688 75.398 -63.77
ID=4690 75.398 -58.69
ID=4691 75.398 -56.15
ID=4676 88.606 -84.09
ID=4674 94.006 -74.452
ID=4678 84.034 -76.978
ID=4684 78.446 -84.09
ID=4686 75.398 -68.85
ID=4682 75.398 -79.01
ID=4681 75.398 -76.47
ID=4680 75.398 -73.93
