# Cluster: Cluster 3
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 159.28150000000002, -32.841375
ID=4576 165.314 -43.45
ID=4580 155.154 -43.45
ID=4498 165.314 -33.29
ID=4496 155.154 -29.574
ID=4484 144.994 -19.574
ID=4500 170.394 -33.29
ID=4483 155.154 -19.574
ID=4482 165.314 -19.574
ID=4481 175.474 -19.574
ID=4579 160.234 -43.45
ID=4583 150.074 -43.45
ID=4499 165.314 -29.574
ID=4581 155.154 -47.768
ID=4497 160.234 -33.29
ID=4495 155.154 -33.29
ID=4494 150.074 -33.29
