# Cluster: Cluster 1
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 14
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 148.98542857142854, -59.41771428571429
ID=4601 160.234 -57.928
ID=4652 150.074 -71.484
ID=4582 150.074 -47.768
ID=4651 160.234 -71.484
ID=4585 144.994 -47.768
ID=4586 139.914 -47.768
ID=4600 155.154 -57.928
ID=4653 139.914 -71.484
ID=4602 160.234 -61.484
ID=4595 139.914 -57.928
ID=4599 150.074 -61.484
ID=4596 139.914 -61.484
ID=4598 150.074 -57.928
ID=4597 144.994 -57.928
