# Cluster: Cluster 5
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 115.93187500000002, -62.625499999999995
ID=4673 94.006 -69.452
ID=4654 129.754 -71.484
ID=4590 129.754 -47.768
ID=4671 94.006 -59.452
ID=4594 134.834 -57.928
ID=4661 114.006 -44.4
ID=4672 94.006 -64.452
ID=4662 114.006 -39.4
ID=4592 129.754 -57.928
ID=4593 129.754 -61.484
ID=4655 121.0 -81.0
ID=4660 114.006 -59.452
ID=4659 114.006 -64.452
ID=4658 114.006 -69.452
ID=4656 114.006 -79.452
ID=4657 114.006 -74.452
