# Cluster: Cluster 4
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 229.56105882352938, -45.72658823529412
ID=4551 231.354 -43.45
ID=4518 231.354 -33.29
ID=4623 231.354 -61.484
ID=4549 236.434 -47.768
ID=4520 236.434 -29.574
ID=4521 241.514 -33.29
ID=4519 236.434 -33.29
ID=4550 231.354 -47.768
ID=4548 236.434 -43.45
ID=4622 231.354 -57.928
ID=4619 221.194 -57.928
ID=4557 216.114 -47.768
ID=4621 226.274 -57.928
ID=4552 226.274 -43.45
ID=4553 226.274 -47.768
ID=4554 221.194 -47.768
ID=4555 221.194 -43.45
