# Cluster: Cluster 8
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 16
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 173.56900000000002, -55.08225000000001
ID=4572 175.474 -43.45
ID=4574 170.394 -47.768
ID=4605 170.394 -61.484
ID=4578 160.234 -47.768
ID=4603 165.314 -57.928
ID=4570 180.554 -47.768
ID=4577 165.314 -47.768
ID=4575 170.394 -43.45
ID=4650 170.394 -71.484
ID=4607 180.554 -57.928
ID=4649 180.554 -71.484
ID=4608 180.554 -61.484
ID=4606 175.474 -57.928
ID=4604 170.394 -57.928
ID=4573 175.474 -47.768
ID=4609 185.634 -57.928
