# Cluster: Cluster 15
# Cluster name: Cluster
# Cluster noise flag: false
# Cluster size: 17
# Model class: de.lmu.ifi.dbs.elki.data.model.MeanModel
# Cluster Mean: 52.686588235294124, -73.83470588235295
ID=4714 60.158 -66.31
ID=4683 75.398 -81.55
ID=4718 60.158 -76.47
ID=4716 60.158 -71.39
ID=4712 60.158 -61.23
ID=4711 60.158 -58.69
ID=4713 60.158 -63.77
ID=4715 60.158 -68.85
ID=4719 60.158 -79.01
ID=4717 60.158 -73.93
ID=4726 18.288 -61.976
ID=4724 39.878 -87.122
ID=4725 25.654 -61.976
ID=4720 60.158 -81.55
ID=4721 47.498 -87.122
ID=4722 44.958 -87.122
ID=4723 42.418 -87.122
